,Category
Agapostemon_texanus,mid
Andrena_algida,early
Andrena_birtwelli,mid
Andrena_buckelli,mid
Andrena_candida,late
Andrena_columbiana,late
Andrena_costillensis,late
Andrena_cyanophila,early
Andrena_macoupinensis,mid
Andrena_mariae,mid
Andrena_medionitens,mid
Andrena_salicifloris,mid
Andrena_thaspii,mid
Andrena_transnigra,early
Andrena_w_scripta,early
Anthidium_sp,late
Anthophora_terminalis,mid
Anthophora_ursina,early
Ashmeadiella_sp,mid
Atoposmia_abjecta,mid
Atoposmia_elongata,late
Bombus_appositus,mid
Bombus_balteatus,mid
Bombus_bifarius,early
Bombus_centralis,mid
Bombus_fervidus,early
Bombus_flavifrons,early
Bombus_frigidus,mid
Bombus_huntii,mid
Bombus_insularis,mid
Bombus_mixtus,late
Bombus_nevadensis,mid
Bombus_occidentalis,mid
Bombus_rufocinctus,mid
Bombus_sylvicola,mid
Calliopsis_coloradensis,late
Calliopsis_teucrii,late
Ceratina_nanula,early
Ceratina_neomexicana,early
Coelioxys_moesta,late
Coelioxys_sodalis,mid
Colletes_consors,mid
Colletes_hyalinus,late
Colletes_kincaidii,late
Colletes_nigrifrons,mid
Colletes_paniscus,mid
Diadasia_diminuta,mid
Dianthidium_heterulkei,late
Dufourea_fimbriata,late
Dufourea_harveyi,mid
Dufourea_maura,mid
Dufourea_sp,late
Epeolus_americanus,mid
Epeolus_compactus,late
Epeolus_sp,late
Eucera_fulvitarsis,early
Halictus_confusus,mid
Halictus_rubicundus,early
Halictus_tripartitus,early
Halictus_virgatellus,early
Holcopasites_sp,late
Hoplitis_albifrons,mid
Hoplitis_fulgida,mid
Hoplitis_fulgida_fulgida,mid
Hoplitis_robusta,mid
Hylaeus_annulatus,late
Hylaeus_basalis,mid
Hylaeus_modestus,mid
Hylaeus_personatellus,late
Hylaeus_rudbeckiae,late
Hylaeus_sp,late
Hylaeus_verticalis,mid
Lasioglossum_abundipunctum,early
Lasioglossum_ebmerellum,mid
Lasioglossum_ephialtum,late
Lasioglossum_granosum,early
Lasioglossum_inconditum,early
Lasioglossum_knereri,late
Lasioglossum_nigrum,early
Lasioglossum_obnubilum,mid
Lasioglossum_occidentale,late
Lasioglossum_pacatum,early
Lasioglossum_pavoninum,early
Lasioglossum_prasinogaster,mid
Lasioglossum_regis,mid
Lasioglossum_ruidosense,early
Lasioglossum_sandhousiellum,mid
Lasioglossum_sedi,early
Lasioglossum_semicaeruleum,late
Lasioglossum_tenax,early
Lasioglossum_trizonatum,mid
Megachile_frigida,late
Megachile_gemula,mid
Megachile_inermis,late
Megachile_latimanus,late
Megachile_melanophaea,mid
Megachile_montivaga,mid
Megachile_perihirta,late
Megachile_pugnata,late
Megachile_relativa,mid
Megachile_subexilis,mid
Melissodes_confusus,late
Melissodes_coreopsis,late
Melissodes_grindeliae,late
Melissodes_hymenoxidis,late
Melissodes_tristis,late
Nomada_sp,early
Osmia_albolateralis,early
Osmia_austromaritima,early
Osmia_brevis,early
Osmia_bruneri,early
Osmia_bucephala,early
Osmia_calla,early
Osmia_coloradensis,early
Osmia_cyanopoda,late
Osmia_ednae,early
Osmia_giliarum,mid
Osmia_grindeliae,early
Osmia_hirsuta,mid
Osmia_inermis,early
Osmia_iridis,mid
Osmia_lignaria,early
Osmia_longula,early
Osmia_mertensiae,mid
Osmia_montana_montana,early
Osmia_nigrifrons,early
Osmia_nigriventris,mid
Osmia_paradisica,early
Osmia_pentstemonis,late
Osmia_phaceliae,early
Osmia_proxima,mid
Osmia_pusilla,late
Osmia_sculleni,mid
Osmia_sericea,mid
Osmia_simillima,early
Osmia_sp,early
Osmia_subaustralis,early
Osmia_tersula,mid
Osmia_thysanisca,early
Osmia_torchioi,mid
Osmia_trevoris,mid
Osmia_tristella,early
Panurginus_cressoniellus,mid
Panurginus_ineptus,mid
Panurginus_sp,late
Pseudopanurgus_bakeri,mid
Pseudopanurgus_didirupa,mid
Pseudopanurgus_sp,late
Sphecodes_sp,early
Stelis_foederalis,late
Stelis_sp,mid
Stelis_subemarginata,late
Triepeolus_sp,mid